Year	Month	Day	Hour	Minute	Second	GPS Week	Second of Week	Delta T[m]
2020	8	1	0	0	0	2116	518400	0.104000000000000
2020	8	1	0	15	0	2116	519300	0.0830000000000000
2020	8	1	0	30	0	2116	520200	0.0560000000000000
2020	8	1	0	45	0	2116	521100	0.0330000000000000
2020	8	1	1	0	0	2116	522000	0.163000000000000
2020	8	1	1	15	0	2116	522900	0.236000000000000
2020	8	1	1	30	0	2116	523800	0.252000000000000
2020	8	1	1	45	0	2116	524700	0.255000000000000
2020	8	1	2	0	0	2116	525600	0.386000000000000
2020	8	1	2	15	0	2116	526500	0.371000000000000
2020	8	1	2	30	0	2116	527400	0.405000000000000
2020	8	1	2	45	0	2116	528300	0.404000000000000
2020	8	1	3	0	0	2116	529200	0.256000000000000
2020	8	1	3	15	0	2116	530100	0.254000000000000
2020	8	1	3	30	0	2116	531000	0.262000000000000
2020	8	1	3	45	0	2116	531900	0.269000000000000
2020	8	1	4	0	0	2116	532800	0.185000000000000
2020	8	1	4	15	0	2116	533700	0.189000000000000
2020	8	1	4	30	0	2116	534600	0.181000000000000
2020	8	1	4	45	0	2116	535500	0.158000000000000
2020	8	1	5	0	0	2116	536400	0.212000000000000
2020	8	1	5	15	0	2116	537300	0.209000000000000
2020	8	1	5	30	0	2116	538200	0.189000000000000
2020	8	1	5	45	0	2116	539100	0.188000000000000
2020	8	1	6	0	0	2116	540000	0.154000000000000
2020	8	1	6	15	0	2116	540900	0.155000000000000
2020	8	1	6	30	0	2116	541800	0.156000000000000
2020	8	1	6	45	0	2116	542700	0.156000000000000
2020	8	1	7	0	0	2116	543600	0.00100000000000000
2020	8	1	7	15	0	2116	544500	-0.0170000000000000
2020	8	1	7	30	0	2116	545400	-0.0250000000000000
2020	8	1	7	45	0	2116	546300	-0.0480000000000000
2020	8	1	8	0	0	2116	547200	0.0190000000000000
2020	8	1	8	15	0	2116	548100	NaN
2020	8	1	8	30	0	2116	549000	NaN
2020	8	1	8	45	0	2116	549900	NaN
2020	8	1	9	0	0	2116	550800	NaN
2020	8	1	9	15	0	2116	551700	NaN
2020	8	1	9	30	0	2116	552600	NaN
2020	8	1	9	45	0	2116	553500	NaN
2020	8	1	10	0	0	2116	554400	-0.276000000000000
2020	8	1	10	15	0	2116	555300	-0.312000000000000
2020	8	1	10	30	0	2116	556200	-0.355000000000000
2020	8	1	10	45	0	2116	557100	-0.406000000000000
2020	8	1	11	0	0	2116	558000	0.0170000000000000
2020	8	1	11	15	0	2116	558900	0.0380000000000000
2020	8	1	11	30	0	2116	559800	0.0620000000000000
2020	8	1	11	45	0	2116	560700	0.0960000000000000
2020	8	1	12	0	0	2116	561600	0.0310000000000000
2020	8	1	12	15	0	2116	562500	0.0270000000000000
2020	8	1	12	30	0	2116	563400	0.0180000000000000
2020	8	1	12	45	0	2116	564300	0.0220000000000000
2020	8	1	13	0	0	2116	565200	-0.0140000000000000
2020	8	1	13	15	0	2116	566100	0.0380000000000000
2020	8	1	13	30	0	2116	567000	0.0380000000000000
2020	8	1	13	45	0	2116	567900	0.0390000000000000
2020	8	1	14	0	0	2116	568800	0.609000000000000
2020	8	1	14	15	0	2116	569700	0.686000000000000
